CRRA,5.483234691574131
time_to_estimate,173.47283172607422
params,{'CRRA': 5.483234691574131}
fun,0.9489094265008197
start_fun,0.9557802538334589
start_params,{'CRRA': 5.483770216009288}
algorithm,multistart_tranquilo_ls
direction,minimize
n_free,1
message,Absolute criterion change smaller than tolerance.
success,
n_fun_evals,
n_jac_evals,
n_hess_evals,
n_iterations,
status,
jac,
hess,
hess_inv,
max_constraint_violation,
history,
convergence_report,
multistart_info,"MultistartInfo(start_parameters=[{'CRRA': 5.483770216009288}, {'CRRA': 5.5133341078593805}], local_optima=[Minimize with 1 free parameters terminated.

The tranquilo_ls algorithm reported: Absolute criterion change smaller than tolerance., Minimize with 1 free parameters terminated.

The tranquilo_ls algorithm reported: Absolute criterion change smaller than tolerance.], exploration_sample=[{'CRRA': 5.483770216009288}, {'CRRA': 5.527254344302515}, {'CRRA': 5.526903692474523}, {'CRRA': 5.612185530467524}, {'CRRA': 5.315228651557295}, {'CRRA': 5.7182624995260625}, {'CRRA': 5.809157199681575}, {'CRRA': 5.861698484682162}, {'CRRA': 6.191511401867462}, {'CRRA': 6.229066536705162}, {'CRRA': 6.623792717881422}, {'CRRA': 6.962229737141659}, {'CRRA': 4.3546324800238665}, {'CRRA': 7.0940076421714355}, {'CRRA': 4.265421422801898}, {'CRRA': 7.512967021292029}, {'CRRA': 7.578936438769679}, {'CRRA': 7.809968142782541}, {'CRRA': 7.8785287703245}, {'CRRA': 7.882306371044203}, {'CRRA': 8.049171437595607}, {'CRRA': 8.085099366278246}, {'CRRA': 3.9247538220375433}, {'CRRA': 8.28456579356959}, {'CRRA': 9.007924019458232}, {'CRRA': 9.410453278695293}, {'CRRA': 9.53802584780461}, {'CRRA': 9.545107478637192}, {'CRRA': 9.602175649440287}, {'CRRA': 3.4691443402518978}, {'CRRA': 9.740986929600485}, {'CRRA': 9.940636777408631}, {'CRRA': 10.009368356111814}, {'CRRA': 3.3507144164351614}, {'CRRA': 10.683768283594134}, {'CRRA': 10.71578337563068}, {'CRRA': 10.856087581113856}, {'CRRA': 3.215746043825571}, {'CRRA': 11.016813177016415}, {'CRRA': 11.154594627709164}, {'CRRA': 11.580331451996084}, {'CRRA': 11.687821794553411}, {'CRRA': 11.721727225994131}, {'CRRA': 11.75921602802263}, {'CRRA': 11.773752303172303}, {'CRRA': 11.916697034517718}, {'CRRA': 11.91891895554209}, {'CRRA': 12.25876665148691}, {'CRRA': 12.280260444182368}, {'CRRA': 2.913241453938683}, {'CRRA': 12.800595657497741}, {'CRRA': 12.898638247562957}, {'CRRA': 13.215741658298318}, {'CRRA': 13.581026309492035}, {'CRRA': 13.680362978420908}, {'CRRA': 13.726965604269248}, {'CRRA': 13.818712492447636}, {'CRRA': 13.825353415874535}, {'CRRA': 2.7645386931818807}, {'CRRA': 14.079644550596505}, {'CRRA': 14.421899554845542}, {'CRRA': 14.448243549112322}, {'CRRA': 14.460778164957096}, {'CRRA': 14.588220483652169}, {'CRRA': 14.959732654620899}, {'CRRA': 14.969807649600428}, {'CRRA': 15.095418225858161}, {'CRRA': 15.104096809704345}, {'CRRA': 15.119818102864867}, {'CRRA': 15.463259375450315}, {'CRRA': 15.586789376758068}, {'CRRA': 15.725614980902694}, {'CRRA': 15.92408691334078}, {'CRRA': 15.987313843561854}, {'CRRA': 15.995836272271182}, {'CRRA': 16.0206668241774}, {'CRRA': 16.085447902282198}, {'CRRA': 16.08564476476857}, {'CRRA': 16.19142247450729}, {'CRRA': 2.529129880640731}, {'CRRA': 16.466031854817643}, {'CRRA': 16.55887764503005}, {'CRRA': 16.714804419643016}, {'CRRA': 16.77538303817861}, {'CRRA': 16.845982951366413}, {'CRRA': 17.11960224049988}, {'CRRA': 2.4593202068367943}, {'CRRA': 17.321845918565185}, {'CRRA': 18.232043686446648}, {'CRRA': 18.35551997751438}, {'CRRA': 18.830804475946533}, {'CRRA': 19.191199588061107}, {'CRRA': 19.598147519075468}, {'CRRA': 19.88894223827108}, {'CRRA': 2.1965435819374095}, {'CRRA': 2.1255926104822604}, {'CRRA': 1.870223328839562}, {'CRRA': 1.4984671028179561}, {'CRRA': 1.320610254442696}, {'CRRA': 1.158756527643074}], exploration_results=array([0.9489096 , 0.94929428, 0.94930188, 0.95130888, 0.95257291,
       0.95599857, 0.96122777, 0.96500181, 0.99587348, 1.0001518 ,
       1.05495697, 1.11156912, 1.12995965, 1.13584751, 1.16718137,
       1.22364959, 1.23804348, 1.2918656 , 1.30804507, 1.30895462,
       1.3499505 , 1.35900065, 1.36135863, 1.40848956, 1.60252091,
       1.71884773, 1.75631091, 1.75834826, 1.77567239, 1.79871864,
       1.817656  , 1.87769247, 1.89915548, 1.95778675, 2.11129438,
       2.12103661, 2.16587654, 2.16866774, 2.21717797, 2.26180891,
       2.40110713, 2.43613874, 2.44696845, 2.45918159, 2.46410834,
       2.5119057 , 2.51266064, 2.62729814, 2.63433532, 2.78397184,
       2.81007374, 2.84331676, 2.9522277 , 3.07735636, 3.1117288 ,
       3.12784595, 3.15909503, 3.16132413, 3.18989464, 3.24865204,
       3.36669105, 3.37582746, 3.37991448, 3.42403338, 3.55183718,
       3.55531451, 3.59868689, 3.60186073, 3.60730855, 3.72612757,
       3.76880721, 3.81661557, 3.88636715, 3.90811275, 3.91112115,
       3.91964935, 3.94187667, 3.94193771, 3.97835622, 4.0328967 ,
       4.07290188, 4.10466129, 4.15824654, 4.17926415, 4.20348626,
       4.29611502, 4.34396731, 4.36414656, 4.67583705, 4.71716183,
       4.87910144, 4.99970068, 5.13459759, 5.23136361, 5.71497005,
       6.06855912, 6.86477024, 7.18102777, 7.24905406, 7.33244654]))"
