CRRA,3.232292051323647
DiscFac,0.8095402287671911
BeqMPC,0.08752764414195674
BeqInt,0.12124156999731063
time_to_estimate,2062.138172149658
params,"{'CRRA': 3.232292051323647, 'DiscFac': 0.8095402287671911, 'BeqMPC': 0.08752764414195674, 'BeqInt': 0.12124156999731063}"
fun,0.1868992298108518
start_fun,15.95947881290414
start_params,"{'CRRA': 2.0, 'DiscFac': 1.0, 'BeqMPC': 0.1, 'BeqInt': 1.0}"
algorithm,multistart_tranquilo_ls
direction,minimize
n_free,4
message,
success,
n_fun_evals,
n_jac_evals,
n_hess_evals,
n_iterations,
status,
jac,
hess,
hess_inv,
max_constraint_violation,
history,
convergence_report,"{'one_step': {'relative_criterion_change': 0.00024355118614652536, 'relative_params_change': 0.013452093782272901, 'absolute_criterion_change': 4.551952911030499e-05, 'absolute_params_change': 0.01164715347594275}, 'five_steps': {'relative_criterion_change': 5.53479141036255, 'relative_params_change': 42.88273841730837, 'absolute_criterion_change': 1.034448251760479, 'absolute_params_change': 5.683283953807891}}"
