CRRA,4.702516043246289
BeqMPC,0.4961468343695804
BeqInt,0.21656043134278857
time_to_estimate,1197.2481007575989
params,"{'CRRA': 4.702516043246289, 'BeqMPC': 0.4961468343695804, 'BeqInt': 0.21656043134278857}"
fun,0.4238900843618975
start_fun,6.809071125306353
start_params,"{'CRRA': 2.0, 'BeqMPC': 0.1, 'BeqInt': 1.0}"
algorithm,multistart_tranquilo_ls
direction,minimize
n_free,3
message,Absolute criterion change smaller than tolerance.
success,
n_fun_evals,
n_jac_evals,
n_hess_evals,
n_iterations,
status,
jac,
hess,
hess_inv,
max_constraint_violation,
history,
convergence_report,"{'one_step': {'relative_criterion_change': 2.970645598512328e-05, 'relative_params_change': 0.009184470101085406, 'absolute_criterion_change': 1.2592272133626903e-05, 'absolute_params_change': 0.004250647284326625}, 'five_steps': {'relative_criterion_change': 2.970645598512328e-05, 'relative_params_change': 0.009184470101085406, 'absolute_criterion_change': 1.2592272133626903e-05, 'absolute_params_change': 0.004250647284326625}}"
